,book_format,book_pages,book_review_count,book_rating_count,book_rating
197,Paperback,144 pages,358,6295,4.06
198,Board book,24 pages,30,1989,3.97
199,Paperback,348 pages,14,75,4.25
200,Hardcover,360 pages,18,107,4.07
201,Paperback,392 pages,202,2777,4.04
202,Hardcover,320 pages,68,555,4.23
203,Kindle Edition,294 pages,6,9,3.89
204,Paperback,304 pages,1594,48895,3.97
205,Paperback,361 pages,87,1494,4.3
206,Paperback,84 pages,0,7,4.57
207,Paperback,250 pages,20,1019,4.35
208,Paperback,222 pages,13,54,3.56
209,Mass Market Paperback,296 pages,245,3902,3.98
211,Paperback,235 pages,11259,509034,3.99
212,Paperback,400 pages,321,2662,4.1
214,Hardcover,384 pages,345,10902,4.18
215,Hardcover,342 pages,88,451,3.85
216,Paperback,192 pages,26,136,3.96
217,Hardcover,152 pages,425,5389,4.03
218,Paperback,591 pages,359,2558,2.32
219,Hardcover,287 pages,116,3238,4.3
220,Hardcover,328 pages,782,14176,3.76
221,Kindle Edition,70 pages,7,128,3.23
222,Hardcover,359 pages,652,4751,3.71
223,Paperback,292 pages,238,4138,3.65
224,Mass Market Paperback,173 pages,766,11383,4.16
225,Hardcover,184 pages,10,90,4.24
226,Hardcover,864 pages,11,182,4.32
227,Hardcover,32 pages,499,13101,4.36
229,Paperback,484 pages,1016,8102,4.22
230,Paperback,425 pages,103,407,3.8
231,Paperback,700 pages,74,1059,3.98
232,Paperback,384 pages,160762,5522513,4.33
233,Paperback,288 pages,63,732,4.11
235,Paperback,843 pages,769,31651,3.92
236,Paperback,248 pages,6231,120424,3.72
237,Paperback,280 pages,5614,171972,3.7
238,Hardcover,352 pages,90,2135,4.27
239,Mass Market Paperback,315 pages,42,301,3.68
240,Paperback,368 pages,485,8510,3.86
242,ebook,244 pages,148,1219,4.2
243,Paperback,269 pages,363,2423,3.61
244,Paperback,205 pages,316,4331,4.23
245,Hardcover,488 pages,279,3213,4.07
246,Paperback,80 pages,17,316,3.86
247,Paperback,256 pages,14,112,3.65
249,Paperback,384 pages,154,1745,3.87
250,Paperback,240 pages,46,753,3.8
251,Hardcover,323 pages,44,386,3.65
252,Paperback,480 pages,270,18859,3.88
253,Hardcover,1120 pages,16,403,4.59
254,Hardcover,352 pages,1465,8558,4.09
255,Paperback,368 pages,3,32,3.78
256,Hardcover,256 pages,20,283,4.11
257,Mass Market Paperback,348 pages,141,2119,3.94
258,Paperback,356 pages,216,4442,3.71
259,Hardcover,378 pages,148,790,3.22
260,Paperback,412 pages,631,11775,4.18
261,Paperback,251 pages,1172,18758,3.45
262,Paperback,384 pages,66,807,3.83
263,Paperback,305 pages,0,44,3.61
264,Hardcover,312 pages,1691,7893,3.88
265,Paperback,620 pages,56799,2069240,4.62
267,Paperback,89 pages,15,26,4.38
268,Paperback,128 pages,872,10763,3.98
269,Paperback,315 pages,68,690,3.91
271,Mass Market Paperback,237 pages,23446,1204363,3.98
273,Paperback,222 pages,794,15133,3.86
274,Paperback,319 pages,3,21,4.29
275,Paperback,464 pages,294,2230,4.29
276,Paperback,212 pages,3,27,4.0
277,Hardcover,300 pages,6969,46427,3.74
278,Bonded Leather,918 pages,67,1687,4.55
279,Paperback,516 pages,104354,2494970,4.22
280,Paperback,424 pages,37,253,4.25
281,Paperback,310 pages,257,6043,3.95
282,Paperback,272 pages,8922,59029,3.99
283,Paperback,320 pages,6,138,3.85
284,Paperback,400 pages,55,264,3.77
286,Kindle Edition,286 pages,244,1743,3.74
287,ebook,113 pages,15,218,3.42
289,Paperback,353 pages,265,3090,3.67
290,Paperback,184 pages,5,25,3.76
291,Hardcover,316 pages,3,103,3.43
292,Paperback,240 pages,325,3005,3.58
293,Hardcover,598 pages,539,7314,4.31
294,Kindle Edition,416 pages,25,84,4.06
295,Paperback,474 pages,652,12604,3.95
296,Paperback,300 pages,120,2560,4.13
297,Paperback,326 pages,79,284,3.94
298,Hardcover,323 pages,7277,76171,3.74
299,Paperback,196 pages,21,47,3.91
300,Paperback,320 pages,750,15774,3.76
301,Paperback,208 pages,3,232,3.57
302,Hardcover,262 pages,927,4709,3.75
303,Paperback,32 pages,206,5980,4.12
304,Paperback,224 pages,46,844,3.57
305,Paperback,475 pages,3,121,4.08
306,Hardcover,352 pages,46,221,3.77
307,Hardcover,370 pages,35,280,4.47
309,Hardcover,338 pages,10,120,4.69
310,Hardcover,240 pages,166,1296,3.56
311,Paperback,377 pages,170,4909,3.97
312,Paperback,784 pages,352,4461,4.37
313,Paperback,96 pages,80,697,3.45
314,Paperback,310 pages,1934,16937,3.75
315,Hardcover,393 pages,651,5077,3.42
317,Paperback,224 pages,99,2709,3.97
318,Paperback,432 pages,9108,81802,3.57
319,Paperback,348 pages,24,1279,3.82
320,Hardcover,253 pages,130,743,3.46
322,Kindle Edition,289 pages,477,5309,4.18
323,Paperback,298 pages,11,22,4.0
324,Hardcover,339 pages,555,2223,3.68
325,Hardcover,316 pages,665,7661,3.91
326,Trade Paperback,329 pages,226,2562,3.62
327,Paperback,394 pages,263,1231,3.86
329,Hardcover,220 pages,2,63,4.59
330,Hardcover,592 pages,306,5007,4.27
331,Hardcover,260 pages,524,3568,3.92
332,Paperback,400 pages,209,2570,3.33
333,Paperback,528 pages,127,2152,3.93
334,Paperback,256 pages,3,45,4.47
335,Kindle Edition,288 pages,376,6244,3.98
336,Paperback,320 pages,78,707,3.68
337,ebook,330 pages,287,4319,4.4
338,Paperback,199 pages,58,1669,3.6
340,Paperback,262 pages,8897,58913,3.99
341,Hardcover,301 pages,430,7626,4.24
342,Paperback,369 pages,30,50,4.56
343,Nook,149 pages,1173,13882,4.04
344,Kindle Edition,280 pages,127,847,3.82
345,Paperback,290 pages,2160,16835,4.1
346,Paperback,198 pages,53,302,3.93
347,ebook,291 pages,5,7,3.57
348,Hardcover,368 pages,143,691,4.08
349,Paperback,352 pages,119,1340,4.12
351,Paperback,184 pages,1,2,5.0
353,Paperback,112 pages,344,13634,3.94
354,Hardcover,244 pages,338,13137,3.89
355,Library Binding,64 pages,22,138,4.12
357,Paperback,317 pages,26,378,3.79
358,Mass Market Paperback,308 pages,319,5154,3.87
359,Paperback,124 pages,105,1832,3.71
360,Paperback,288 pages,154,1266,3.97
361,Paperback,176 pages,70,754,3.8
362,Paperback,312 pages,15,36,4.5
363,Paperback,278 pages,705,10648,4.04
364,Paperback,1079 pages,7752,63615,4.3
365,Paperback,198 pages,91,2040,4.31
366,Paperback,294 pages,47919,372841,4.35
367,Paperback,193 pages,44,3362,4.29
368,Paperback,181 pages,43,1457,4.15
369,Hardcover,432 pages,521,4109,3.72
370,Mass Market Paperback,374 pages,2240,27110,4.07
371,Paperback,230 pages,423,5611,3.8
372,Paperback,396 pages,118,2373,4.04
373,ebook,124 pages,19,345,4.2
374,Paperback,270 pages,5,96,3.39
375,Mass Market Paperback,389 pages,188,2227,3.97
376,Kindle Edition,95 pages,2,59,3.27
377,Paperback,432 pages,401,2660,3.81
378,Paperback,329 pages,200,2847,4.05
379,Paperback,368 pages,239,5951,4.02
380,Paperback,96 pages,168,2382,4.16
382,Hardcover,70 pages,304,9570,4.08
383,Paperback,765 pages,4333,41167,4.03
384,Paperback,320 pages,1113,14315,4.25
385,Paperback,357 pages,11615,86650,3.92
386,Kindle Edition,223 pages,54,943,3.65
387,Hardcover,264 pages,315,2456,3.87
388,Kindle Edition,151 pages,28,103,4.15
389,Paperback,256 pages,201,5624,4.09
390,Hardcover,392 pages,1698,15857,3.92
391,Paperback,288 pages,49,1223,3.88
392,Paperback,372 pages,59,1466,4.1
393,Paperback,272 pages,279,5982,3.81
394,ebook,51 pages,72,840,3.77
395,Kindle Edition,313 pages,89,665,3.45
396,Paperback,336 pages,4876,28297,3.7
397,ebook,196 pages,35,322,3.69
398,Paperback,416 pages,21,224,3.8
399,Hardcover,368 pages,277,1702,4.61
400,Paperback,272 pages,53,387,3.42
401,ebook,350 pages,183,1496,4.41
402,Paperback,160 pages,221,1199,3.82
403,Paperback,340 pages,182,1195,3.7
404,Paperback,320 pages,65,482,3.75
405,Hardcover,344 pages,60,837,4.19
406,Paperback,374 pages,132,1606,4.28
407,Paperback,387 pages,3,41,4.29
408,Hardcover,343 pages,2032,13883,3.93
409,Paperback,228 pages,34,850,4.3
410,Paperback,494 pages,65,2555,4.17
411,Paperback,416 pages,645,6094,3.86
412,Paperback,256 pages,456,10875,4.33
413,Paperback,584 pages,100864,1486487,4.36
414,Paperback,176 pages,129,1345,4.06
416,Paperback,352 pages,121,709,3.66
417,Hardcover,376 pages,2930,24957,4.22
418,Paperback,285 pages,69,943,4.32
419,Hardcover,768 pages,181,2367,3.84
422,Paperback,160 pages,143,2476,4.13
423,Hardcover,704 pages,13,321,4.65
424,Paperback,296 pages,13,31,4.58
425,ebook,266 pages,1495,23069,4.33
426,Kindle Edition,442 pages,20,181,3.64
427,Hardcover,48 pages,118,6846,4.19
428,Paperback,245 pages,4497,84789,3.91
429,Paperback,322 pages,123,1716,3.95
430,Paperback,185 pages,31,48,3.96
431,Hardcover,348 pages,4972,34539,4.05
432,Paperback,180 pages,3820,22773,3.94
433,Paperback,292 pages,101,1048,4.22
434,Paperback,272 pages,41,2536,3.74
435,Hardcover,87 pages,176,2538,4.13
436,Hardcover,80 pages,53,1128,4.17
437,Hardcover,682 pages,113,676,4.02
438,Kindle Edition,289 pages,362,3155,3.95
439,Kindle Edition,309 pages,1028,8237,3.93
440,Hardcover,212 pages,19,131,4.23
441,Paperback,32 pages,338,7271,4.21
443,Paperback,464 pages,613,3823,3.88
444,Hardcover,480 pages,55,143,2.67
445,Kindle Edition,294 pages,20,98,3.88
446,Paperback,160 pages,115,952,3.66
447,Paperback,272 pages,521,3431,3.7
449,Paperback,72 pages,5,48,4.58
450,Paperback,184 pages,36988,1322843,3.98
451,Paperback,480 pages,9,729,4.22
452,Paperback,280 pages,286,2826,4.23
453,Paperback,304 pages,92,788,4.1
455,Paperback,640 pages,9,96,4.41
456,Paperback,404 pages,170,3010,4.17
457,Paperback,490 pages,280,2410,4.16
458,Paperback,78 pages,11,35,3.89
459,Paperback,360 pages,3,48,3.75
460,Kindle Edition,308 pages,119,2311,4.23
461,Paperback,228 pages,590,15273,4.11
462,Hardcover,217 pages,1739,17742,3.63
463,Paperback,256 pages,448,5012,4.05
464,ebook,284 pages,180,2966,4.11
465,Paperback,288 pages,21,188,3.81
466,Hardcover,336 pages,2668,18320,3.84
467,Paperback,416 pages,307,2236,3.72
469,Hardcover,224 pages,2620,18557,3.72
470,Paperback,720 pages,59,678,3.95
471,ebook,80 pages,955,14227,4.11
472,Paperback,224 pages,274,2149,3.97
473,Hardcover,352 pages,110,669,3.95
474,Paperback,240 pages,103,1689,3.71
475,Hardcover,257 pages,264,2128,4.25
476,Paperback,687 pages,14507,507947,4.2
477,Mass Market Paperback,271 pages,10283,629137,4.01
479,ebook,0 pages,1181,28876,4.18
480,Kindle Edition,246 pages,60,464,4.14
481,Paperback,167 pages,23,627,3.87
482,Paperback,265 pages,289,5039,3.98
483,Hardcover,274 pages,568,7284,3.84
484,ebook,234 pages,364,4979,4.38
485,Paperback,408 pages,66,1037,3.92
488,Paperback,248 pages,1572,94440,4.08
489,Hardcover,519 pages,33,364,3.83
490,Paperback,142 pages,24,197,3.28
491,Hardcover,1112 pages,29,306,4.11
492,Paperback,834 pages,95,791,4.31
493,Paperback,264 pages,51,357,3.86
494,Paperback,318 pages,575,9518,4.05
495,Paperback,282 pages,270,1901,3.96
496,Paperback,320 pages,12,45,4.13
499,Hardcover,368 pages,474,4432,4.31
500,Paperback,169 pages,6,59,3.03
501,Hardcover,352 pages,172,2031,4.52
502,Hardcover,402 pages,356,17374,4.27
503,Paperback,131 pages,9,147,4.05
504,Paperback,361 pages,37,459,4.31
505,Paperback,336 pages,56,708,3.37
506,Paperback,303 pages,2876,113362,4.13
507,Hardcover,32 pages,0,6,2.83
508,Hardcover,449 pages,55,1945,4.4
509,Paperback,184 pages,572,50646,4.26
510,Hardcover,464 pages,84,673,4.0
511,Paperback,298 pages,164,4747,4.09
512,Paperback,720 pages,18,943,4.3
513,Paperback,148 pages,23,120,3.27
515,Paperback,234 pages,353,4321,3.94
517,ebook,290 pages,88,415,3.94
518,Paperback,447 pages,2281,13501,3.59
519,Paperback,186 pages,277,3665,3.5
520,Hardcover,399 pages,814,4753,3.97
521,Hardcover,228 pages,299,3848,4.03
522,Paperback,216 pages,24,1389,4.03
523,Hardcover,280 pages,8,90,2.94
524,Hardcover,256 pages,134,633,4.22
525,Kindle Edition,291 pages,1506,9370,4.19
526,Paperback,400 pages,202,2982,4.09
528,Paperback,325 pages,21,174,4.26
529,Paperback,448 pages,48,458,3.91
530,ebook,104 pages,26,79,4.42
531,Paperback,160 pages,409,4005,3.96
532,Kindle Edition,300 pages,12,21,4.81
533,Hardcover,80 pages,194,4845,4.05
534,Mass Market Paperback,90 pages,166,14115,4.51
535,Paperback,190 pages,5,30,3.23
536,Paperback,128 pages,128,2111,4.1
537,Hardcover,644 pages,234,5059,4.48
538,Paperback,466 pages,55,482,4.04
539,Paperback,208 pages,114,3240,4.0
541,Hardcover,233 pages,387,5593,3.81
543,Hardcover,422 pages,1274,16696,4.11
544,Hardcover,406 pages,496,3005,3.71
546,Paperback,309 pages,7953,328071,4.21
547,Paperback,236 pages,229,7063,3.95
548,Hardcover,424 pages,818,4766,3.11
549,Paperback,216 pages,125,2477,3.59
550,Paperback,150 pages,21,49,4.04
552,Paperback,448 pages,307,3032,4.1
553,Hardcover,952 pages,55,913,4.45
554,Kindle Edition,53 pages,555,3878,2.98
555,Hardcover,308 pages,4,35,4.49
556,Paperback,80 pages,272,9012,3.86
557,Kindle Edition,222 pages,457,3377,3.68
558,Hardcover,256 pages,1460,11281,4.14
559,Paperback,74 pages,46,914,3.69
560,Paperback,560 pages,10098,165114,3.86
562,Paperback,130 pages,20,247,3.68
563,Hardcover,431 pages,473,2728,4.11
564,Paperback,264 pages,64,671,4.15
565,Hardcover,291 pages,873,6229,3.58
566,Paperback,248 pages,2578,15193,3.93
567,Kindle Edition,412 pages,565,5264,3.93
568,Paperback,342 pages,635,7984,4.01
569,Kindle Edition,518 pages,5,29,4.28
570,Paperback,324 pages,6,72,4.04
571,Paperback,496 pages,4358,55888,4.2
572,Mass Market Paperback,384 pages,145,3761,3.84
573,Paperback,240 pages,22,1295,4.49
575,Hardcover,219 pages,6839,104911,4.22
576,Paperback,564 pages,351,3605,3.78
577,Mass Market Paperback,416 pages,473,5946,3.92
578,Paperback,294 pages,322,4757,3.86
579,Paperback,143 pages,14,116,3.74
582,Hardcover,392 pages,462,2872,3.81
583,Paperback,184 pages,37,2666,4.3
584,Paperback,208 pages,128,3753,4.01
586,Kindle Edition,195 pages,146,1892,3.75
587,Paperback,1120 pages,164,5547,4.53
588,Kindle Edition,287 pages,94,1119,4.17
589,Kindle Edition,263 pages,343,3814,3.7
591,Hardcover,243 pages,370,2524,3.92
592,Hardcover,402 pages,83,964,4.28
593,Paperback,264 pages,224,4635,4.24
594,Paperback,534 pages,11,337,4.06
595,Hardcover,192 pages,24,77,3.65
596,Audio CD,14 pages,1428,9613,3.9
597,Hardcover,486 pages,3002,25103,3.89
598,Paperback,656 pages,15,95,3.69
599,Paperback,400 pages,173,6437,3.75
600,Paperback,30 pages,43,324,3.28
602,Paperback,490 pages,62,1271,3.86
603,Hardcover,352 pages,3055,18827,4.07
604,Paperback,384 pages,33,418,3.41
606,Paperback,32 pages,35,307,4.01
607,Hardcover,287 pages,2571,17491,3.87
608,Paperback,144 pages,757,10173,3.88
609,Paperback,496 pages,1461,14248,3.58
610,Hardcover,283 pages,879,6537,3.95
611,Kindle Edition,307 pages,542,6154,3.51
612,Hardcover,368 pages,143,1932,3.92
613,Hardcover,135 pages,75,652,3.98
614,Paperback,352 pages,95,1682,4.15
615,Paperback,304 pages,103,2561,4.32
616,Paperback,502 pages,73,2559,4.2
617,Paperback,365 pages,41383,2424468,4.26
618,Paperback,192 pages,234,9987,4.53
619,Paperback,293 pages,114,3094,4.02
620,Hardcover,400 pages,1209,7013,3.72
621,Kindle Edition,870 pages,33,109,4.2
622,Hardcover,208 pages,427,7133,4.09
623,Paperback,241 pages,63,676,3.78
624,Kindle Edition,355 pages,6,21,4.0
625,Audible Audio,14 pages,2260,19012,4.06
626,Kindle Edition,329 pages,1157,19130,3.94
627,Hardcover,276 pages,39,745,3.98
628,Paperback,368 pages,259,1800,3.8
630,Mass Market Paperback,192 pages,54,2147,3.76
631,Paperback,283 pages,3660,32059,3.79
632,Hardcover,241 pages,448,4061,3.52
633,Kindle Edition,464 pages,495,2281,3.88
634,Hardcover,500 pages,1094,10600,3.55
635,Kindle Edition,318 pages,132,4004,4.42
636,Hardcover,293 pages,25533,264585,4.31
637,Paperback,288 pages,601,6235,4.01
638,Paperback,390 pages,72,943,3.94
639,Paperback,626 pages,97,1484,3.91
640,Paperback,288 pages,357,3361,4.0
642,Hardcover,242 pages,113,528,3.66
644,Paperback,236 pages,22,56,4.14
645,Paperback,391 pages,3661,92156,4.0
646,Paperback,198 pages,42,1158,3.9
647,Hardcover,480 pages,77,1398,3.94
648,Paperback,144 pages,1,13,3.85
649,Paperback,524 pages,51,408,4.41
650,Paperback,240 pages,18,76,3.68
651,Kindle Edition,789 pages,17,34,4.18
653,Mass Market Paperback,448 pages,462,6774,4.07
654,Kindle Edition,241 pages,2,98,4.47
655,Paperback,528 pages,984,13103,3.79
656,Mass Market Paperback,182 pages,9,368,3.96
657,Paperback,330 pages,154,5643,4.21
658,Paperback,109 pages,34,1382,3.33
659,ebook,554 pages,4462,109584,4.36
660,Paperback,308 pages,1235,11455,3.83
661,Hardcover,240 pages,259,1956,4.15
662,Hardcover,254 pages,416,2514,3.56
663,Paperback,353 pages,2317,29694,4.27
664,Mass Market Paperback,252 pages,39,532,3.67
666,Hardcover,256 pages,185,1404,4.54
667,Hardcover,256 pages,529,2760,3.85
668,Kindle Edition,612 pages,384,4494,4.03
669,Paperback,173 pages,33,407,4.23
672,Paperback,384 pages,326,26521,4.22
673,Kindle Edition,48 pages,629,11852,3.99
674,Paperback,326 pages,1516,46198,3.72
675,Hardcover,416 pages,19901,201225,4.13
676,Paperback,416 pages,263,13013,3.93
677,Paperback,397 pages,167,2788,4.22
678,Hardcover,288 pages,57,565,3.73
680,Hardcover,541 pages,56800,2069332,4.62
681,Paperback,576 pages,94,1189,3.62
683,Paperback,100 pages,5,77,4.4
684,Paperback,309 pages,12,910,4.21
685,Hardcover,400 pages,140,2247,4.47
686,Paperback,640 pages,415,5362,4.17
687,Hardcover,188 pages,51,280,4.06
688,Paperback,110 pages,335,11135,4.17
689,Paperback,337 pages,132,6720,4.1
690,ebook,310 pages,936,7363,3.63
691,Hardcover,206 pages,225,14695,3.83
692,Kindle Edition,400 pages,363,2719,4.18
693,Hardcover,419 pages,30,109,3.58
696,Hardcover,288 pages,24,179,4.29
697,Paperback,374 pages,27,329,3.89
699,Paperback,418 pages,57,826,3.89
700,Paperback,307 pages,12,113,3.83
701,Kindle Edition,394 pages,47,266,4.03
702,Paperback,445 pages,25,248,3.87
703,ebook,352 pages,26,68,4.41
704,Paperback,240 pages,402,6870,3.77
705,Paperback,752 pages,2,21,4.19
706,Paperback,112 pages,7,62,4.4
707,Paperback,412 pages,23,645,3.98
708,Paperback,432 pages,5,83,3.78
710,Paperback,211 pages,1489,16034,3.97
711,ebook,300 pages,226,1023,4.02
712,ebook,290 pages,5,14,4.5
713,Paperback,256 pages,467,4598,3.97
714,Hardcover,568 pages,178,946,3.84
716,Hardcover,304 pages,365,3155,3.66
717,ebook,231 pages,487,3443,4.06
718,Audio CD,0 pages,1274,11729,4.28
719,Paperback,271 pages,76,2729,3.94
720,Hardcover,35 pages,276,3414,4.66
721,Mass Market Paperback,280 pages,401,7189,3.92
722,Paperback,256 pages,84,1146,3.95
723,Kindle Edition,302 pages,2283,19619,4.17
724,Kindle Edition,346 pages,4,8,4.25
725,Kindle Edition,57 pages,784,5924,3.71
726,Paperback,784 pages,572,10588,4.03
727,Paperback,198 pages,10,648,4.07
728,online fiction,854 pages,24,348,3.95
729,Kindle Edition,37 pages,750,8758,3.82
730,Paperback,272 pages,2116,19191,3.87
731,Mass Market Paperback,240 pages,17,89,3.94
